0,0.271373
10,0.380561
20,0.476710
30,0.612864
40,0.674998
50,0.853121
60,0.897823
70,1.074369
80,1.137144
90,1.261929
100,1.644946
110,1.711754
120,1.882112
130,2.095285
140,2.370365
150,2.609861
160,2.814084
170,2.887221
180,2.582349
190,2.643320
200,2.768736
300,3.721015
400,4.704227
500,5.704050
600,6.776789
700,8.399077
800,9.657705
900,10.578224
1000,11.513428
1100,13.025295
1200,14.228268
1300,15.224389
1400,16.060005
1500,18.195394
1600,18.475888
1700,19.336159
1800,20.250194
1900,21.417397
